カードID,名前,読み方,レベル,属性,種族,カードタイプ,攻撃力,守備力,カードテキスト
8610,Aggiba,"Aggiba, the Malevolent Sh'nn S'yo",10,光,悪魔族,効果,3000,3000,"This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Fiend-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
6959,Armament of the Lethal Lords,Armament of the Lethal Lords,8,闇,戦士族,効果,2500,2500,"This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Warrior-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
7374,Chimaera,"Chimaera, the Master of Beasts",9,光,獣族,効果,3000,3000,"This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Beast-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
20700,Dragon of Illumination,"Dragon of Illumination, Sanctuary's Shield",8,光,ドラゴン族,効果,3000,2500,"Cannot be Special Summoned. Requires 3 Dragon Tributes to Normal Summon (cannot be Normal Set). If this card attacks your opponent directly and reduces their LP to 0, you win the Match."
20701,Elttaes,"Elttaes, the MASTER of DUELS",6,光,サイバース族,効果,2400,2200,"Cannot be Special Summoned. Requires 3 Cyberse Tributes to Normal Summon (cannot be Normal Set). If this card attacks your opponent directly and reduces their LP to 0, you win the Match."
7375,Emperor of Lightning,Emperor of Lightning,8,光,雷族,効果,2600,2600,"This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Thunder-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
9248,Grizzly,"Grizzly, the Red Star Beast",8,地,獣族,シンクロ／効果,2700,2300,"1 EARTH Tuner + 2 or more non-Tuner Beast-Type monsters This card cannot be Special Summoned except by Synchro Summon. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
9850,King Landia the Goldfang,King Landia the Goldfang,8,光,獣戦士族,エクシーズ／効果,3000,2500,"3 Level 8 monsters Must be Xyz Summoned and cannot be Special Summoned by other ways. If this card attacks your opponent directly and reduces their Life Points to 0, while it has an Xyz Material attached that was originally Beast-Warrior-Type, you win the Match."
6533,King of Destruction - Xexex,King of Destruction - Xexex,10,闇,悪魔族,効果,3000,2500,"This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Fiend-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
21967,Light Leading the Valiant,Light Leading the Valiant,8,光,天使族,効果,3000,2500,"Cannot be Special Summoned. Requires 3 Fairy Tributes to Normal Summon (cannot be Normal Set). If this card attacks your opponent directly and reduces their LP to 0, you win the Match."
7993,Lorelei,"Lorelei, the Symphonic Arsenal",8,光,機械族,効果,2400,2000,"This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Machine-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
5929,Meteo the Matchless,Meteo the Matchless,8,闇,獣戦士族,効果,2400,2000,"This card cannot be Special Summoned. This card must be Tribute Summoned by offering 3 Beast-Warrior-Type monsters on your side of the field as Tributes. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
9851,Queen Nereia the Silvercrown,Queen Nereia the Silvercrown,6,光,植物族,エクシーズ／効果,2500,2400,"3 Level 6 monsters Must be Xyz Summoned and cannot be Special Summoned by other ways. If this card attacks your opponent directly and reduces their Life Points to 0, while it has an Xyz Material attached that was originally Plant-Type, you win the Match."
6534,Queen of Fate - Eternia,Queen of Fate - Eternia,8,光,天使族,効果,2400,2000,"This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Fairy-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
8611,Skuna,"Skuna, the Leonine Rakan",8,闇,獣戦士族,効果,2600,2000,"This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Beast-Warrior-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
